Date,Close,Adj Close,Dividends,,divMult,revCumProdDivMult,Adj Close w/o divs,,Split Multiple,Split Multiple rounded 2d.p,Quantity Multiplyer Raw,Quantity Multiplyer
1/27/06,100.59,29.65,0,,1,0.900,32.935,,0.327421855,0.3,1,
1/30/06,100.12,29.51,0,,1,0.900,32.780,,0.327405631,0.3,1,
1/31/06,100.78,29.7,0,,1,0.900,32.991,,0.327355673,0.3,1,
2/1/06,100.73,29.69,0,,1,0.900,32.980,,0.327407889,0.3,1,
2/2/06,98.14,28.93,0,,1,0.900,32.136,,0.327446352,0.3,1,
2/3/06,96.8,28.53,0,,1,0.900,31.691,,0.32738908,0.3,1,
2/6/06,99.1,29.21,0,,1,0.900,32.447,,0.327412818,0.3,1,
2/7/06,96.5,28.44,0,,1,0.900,31.591,,0.327370887,0.3,1,
2/8/06,96.8,28.53,0,,1,0.900,31.691,,0.32738908,0.3,1,
2/9/06,97.05,28.6,0,,1,0.900,31.769,,0.327346928,0.3,1,
2/10/06,96.9,28.56,0,,1,0.900,31.725,,0.32739512,0.3,1,
2/13/06,94.51,27.86,0,,1,0.900,30.947,,0.327447082,0.3,1,
2/14/06,96.9,28.56,0,,1,0.900,31.725,,0.32739512,0.3,1,
2/15/06,96.4,28.41,0,,1,0.900,31.558,,0.327364797,0.3,1,
2/16/06,98.9,29.15,0,,1,0.900,32.380,,0.327401031,0.3,1,
2/17/06,98.77,29.11,0,,1,0.900,32.336,,0.327382098,0.3,1,
2/21/06,97.9,28.86,0,,1,0.900,32.058,,0.327454838,0.3,1,
2/22/06,98.43,29.01,0,,1,0.900,32.224,,0.327384429,0.3,1,
2/23/06,98.4,29,0,,1,0.900,32.213,,0.327371354,0.3,1,
2/24/06,98.59,29.06,0,,1,0.900,32.280,,0.327416468,0.3,1,
2/27/06,99.49,29.32,0,,1,0.900,32.569,,0.327357512,0.3,1,
2/28/06,96.9,28.56,0,,1,0.900,31.725,,0.32739512,0.3,1,
3/1/06,99.58,29.35,0,,1,0.900,32.602,,0.327396294,0.3,1,
3/2/06,99.66,29.37,0,,1,0.900,32.624,,0.327356403,0.3,1,
3/3/06,98,28.88,0,,1,0.900,32.080,,0.327347395,0.3,1,
3/6/06,96.5,28.44,0,,1,0.900,31.591,,0.327370887,0.3,1,
3/7/06,93.1,27.44,0,,1,0.900,30.480,,0.32739512,0.3,1,
3/8/06,93.65,27.6,0,,1,0.900,30.658,,0.327370149,0.3,1,
3/9/06,92.7,27.32,0,,1,0.900,30.347,,0.327369893,0.3,1,
3/10/06,94.65,27.9,0,,1,0.900,30.991,,0.327432181,0.3,1,
3/13/06,94.55,27.87,0,,1,0.900,30.958,,0.327426037,0.3,1,
3/14/06,97.5,28.74,0,,1,0.900,31.925,,0.327431098,0.3,1,
3/15/06,98.63,29.07,0,,1,0.900,32.291,,0.327396306,0.3,1,
3/16/06,97.75,28.81,0,,1,0.900,32.002,,0.327389139,0.3,1,
3/17/06,98.44,29.01,0,,1,0.900,32.224,,0.327351172,0.3,1,
3/20/06,99,29.18,0,,1,0.900,32.413,,0.327406931,0.3,1,
3/21/06,97,28.59,0,,1,0.900,31.758,,0.327401147,0.3,1,
3/22/06,98.07,28.91,0,,1,0.900,32.113,,0.327453542,0.3,1,
