Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2008-12-24,74.68,75.5,73.48,73.9,787700,50.46,0.0
2008-12-26,73.99,75.34,73.03,75.31,1291200,51.43,0.0
2008-12-29,75.25,75.79,74.5,75.29,1020000,51.77,0.524
2008-12-30,76.16,76.16,74.81,75.52,530100,51.93,0.0
2008-12-31,75.54,76.15,75.07,76.01,707400,52.27,0.0
2009-01-02,75.58,76.45,75.58,75.77,673600,52.1,0.0
2009-01-05,75.42,81.87,75.37,79.43,1907500,54.62,0.0
2009-01-06,80.19,80.61,79.52,80.1,2267000,55.08,0.0
2009-01-07,79.94,80.36,77.75,78.65,1748100,54.08,0.0
2009-01-08,78.31,78.31,76.86,77.51,972100,53.3,0.0
2009-01-09,78.86,78.86,77.55,78.65,826600,54.08,0.0
2009-01-12,78.99,79.1,76.21,76.94,867700,52.91,0.0
2009-01-13,77.81,77.81,75.82,76.66,613500,52.72,0.0
2009-01-14,75.55,76.2,73.68,75.68,1006000,52.04,0.0
2009-01-15,75.11,75.53,74.52,75.38,1122500,51.84,0.0
2009-01-16,75.24,76.12,73.79,75.99,574800,52.25,0.0
2009-01-20,75.01,75.53,74.02,74.69,544100,51.36,0.0
2009-01-21,74.82,75.04,73.68,74.7,534200,51.37,0.0
2009-01-22,74.87,74.87,73.76,74.5,454800,51.23,0.0
2009-01-23,73.82,74.33,72.4,73.31,1556100,50.41,0.0
2009-01-26,73.78,74.24,73.07,73.5,573600,50.54,0.0
2009-01-27,74.17,74.44,73.57,74.18,637500,51.01,0.0
2009-01-28,74.94,76.87,74.77,76.81,1549400,52.82,0.0
2009-01-29,75.95,76.36,74.52,74.9,685200,51.51,0.0
2009-01-30,75.59,75.59,74.61,75.24,469800,51.74,0.0
2009-02-02,73.88,74.21,72.4,72.9,1037900,50.64,0.753
2009-02-03,73.47,73.51,72.51,73.03,642100,50.73,0.0
2009-02-04,73.48,73.57,72.84,72.97,891500,50.69,0.0
2009-02-05,73.33,73.76,72.03,72.37,836600,50.27,0.0
2009-02-06,72.9,73.84,72.6,73.83,830900,51.28,0.0
2009-02-09,73.7,74.59,73.56,74.4,831400,51.68,0.0
2009-02-10,74.55,74.57,73.52,73.91,831000,51.34,0.0
2009-02-11,74.25,74.34,73.6,73.74,592100,51.22,0.0
2009-02-12,73.09,73.51,72.84,73.51,509200,51.06,0.0
2009-02-13,73.67,73.8,73.1,73.8,299100,51.26,0.0
2009-02-17,73.78,73.84,71.6,71.92,1521100,49.96,0.0
2009-02-18,72.32,72.47,69.5,71.49,1414600,49.66,0.0
2009-02-19,71.82,72.34,71.52,71.85,385300,49.91,0.0
2009-02-20,70.19,71.17,69.53,70.8,647700,49.18,0.0
2009-02-23,70.82,71.69,68.26,69.02,884500,47.94,0.0
